origin,destination,vehicule_type,station_lat,station_long,station_lat_dest,station_long_dest,departure_time,arrival_time,shape_distance_km,source,provider,origin_city,destination_city,distance_km,co2_kg,airport_origin_name,airport_dest_name
Gare de Amboise,Gare de Pornichet,Avion,47.339771,0.945861,47.289398,-2.34639,,,,airports,OurAirports,Gare de Amboise,Gare de Pornichet,248.23800373562744,100.0455096013167,Amboise Dierre Airfield,La Baule-Escoublac Airport
Gare de Ancenis,Gare de Saint-Pierre-des-Corps,Avion,47.4081,-1.1775,47.432201,0.727606,,,,airports,OurAirports,Gare de Ancenis,Gare de Saint-Pierre-des-Corps,143.35475138436018,91.9671207155806,Ancenis Airfield,Tours Val de Loire Airport
Gare de Brest,Gare de Montauban-de-Bretagne,Avion,48.447899,-4.41854,48.098333,-2.076389,,,,airports,OurAirports,Gare de Brest,Gare de Montauban-de-Bretagne,177.63753712332235,113.96073490746774,Brest Bretagne airport,Queneleuc Airfield
Gare de Chartres,Gare de Le Mans,Avion,48.457502,1.519843,47.948604,0.201702,,,,airports,OurAirports,Gare de Chartres,Gare de Le Mans,112.89169088504315,72.42399476229339,Chartres-Métropole Airfield,Le Mans-Arnage Airport
Gare de Coutances,Gare de Pontchaillou,Avion,49.202276,-1.507983,48.0695,-1.73479,,,,airports,OurAirports,Gare de Coutances,Gare de Pontchaillou,127.05658843460066,81.51127530433276,Lessay Airfield,Rennes-Saint-Jacques Airport
Gare de Douai,Gare de Morgny,Avion,50.337883,2.990714,49.384887,1.179142,,,,airports,OurAirports,Gare de Douai,Gare de Morgny,167.59665206244057,107.51915358862121,Vitry-en-Artois Airfield,Rouen Vallée de Seine Airport
Gare de Frénouville - Cagny,Gare de Évreux Normandie,Avion,49.02,-0.198333,49.028702,1.21986,,,,airports,OurAirports,Gare de Frénouville - Cagny,Gare de Évreux Normandie,103.41022789965594,66.34130240283702,Rouvres Airfield,Évreux-Fauville (BA 105) Air Base
Gare de Hennebont,Gare de Nantes,Avion,47.760601,-3.44,47.153198,-1.61073,,,,airports,OurAirports,Gare de Hennebont,Gare de Nantes,153.21527576279365,98.29299430590828,Lorient South Brittany (Bretagne Sud) Airport,Nantes Atlantique Airport
Gare de La Baule les Pins,Gare de Orléans,Avion,47.289398,-2.34639,47.903611,2.067778,,,,airports,OurAirports,Gare de La Baule les Pins,Gare de Orléans,337.9140180492338,108.12201520054764,La Baule-Escoublac Airport,Mardié Airfield
Gare de La Suze,Gare de Savenay,Avion,47.948604,0.201702,47.420833,-2.011944,,,,airports,OurAirports,Gare de La Suze,Gare de Savenay,175.7850065229802,112.77227129739754,Le Mans-Arnage Airport,Campbon La Berthelière Airfield
Gare de Langeais,Gare de Ancenis,Avion,47.418534,0.323495,47.4081,-1.1775,,,,airports,OurAirports,Gare de Langeais,Gare de Ancenis,112.94829893483406,72.46031081947545,Hommes Volants Ultralight Airfield,Ancenis Airfield
Gare de Langeais,Gare de Pouzauges,Avion,47.418534,0.323495,46.660556,-0.663611,,,,airports,OurAirports,Gare de Langeais,Gare de Pouzauges,112.68764650026215,72.29309310479492,Hommes Volants Ultralight Airfield,Breuil Barret Airfield
Gare de Laval,Gare de Pornichet,Avion,48.032208,-0.743999,47.289398,-2.34639,,,,airports,OurAirports,Gare de Laval,Gare de Pornichet,145.67844094811258,93.45784939078281,Laval-Entrammes Airport,La Baule-Escoublac Airport
Gare de Maintenon,Gare de Champagné,Avion,48.59244,1.53759,47.948604,0.201702,,,,airports,OurAirports,Gare de Maintenon,Gare de Champagné,122.0673885892981,78.31052792752028,Les Ailes d'Eure et Loir Airfield,Le Mans-Arnage Airport
Gare de Morannes,Gare de Saint-Nazaire,Avion,47.7775,-0.514167,47.31142,-2.152634,,,,airports,OurAirports,Gare de Morannes,Gare de Saint-Nazaire,133.45143369848344,85.61379371172144,Solib'Ailes Airfield,Saint-Nazaire-Montoir Airport
Gare de Nantes,Gare de Quimper,Avion,47.153198,-1.61073,47.973031,-4.169655,,,,airports,OurAirports,Gare de Nantes,Gare de Quimper,212.52879991746386,85.65389574814454,Nantes Atlantique Airport,Quimper-Cornouaille Airport
Gare de Orléans,Gare de Angers Saint-Laud,Avion,47.903611,2.067778,47.565556,-0.549722,,,,airports,OurAirports,Gare de Orléans,Gare de Angers Saint-Laud,199.31820687103752,80.32972904692946,Mardié Airfield,Soulaire Airfield
Gare de Paris Saint-Lazare,Gare de Caen,Avion,48.962276,2.436539,49.17678,-0.454883,,,,airports,OurAirports,Gare de Paris Saint-Lazare,Gare de Caen,211.96874819850595,85.42818228452069,Paris-Le Bourget International Airport,Caen Carpiquet airport
Gare de Plouaret Trégor,Gare de Quédillac,Avion,48.754398,-3.47166,48.098333,-2.076389,,,,airports,OurAirports,Gare de Plouaret Trégor,Gare de Quédillac,126.1756363820004,80.94611354315123,Lannion Airport,Queneleuc Airfield
Gare de Port Boulet,Gare de Savenay,Avion,47.256802,-0.115142,47.420833,-2.011944,,,,airports,OurAirports,Gare de Port Boulet,Gare de Savenay,144.0841985551669,92.43508676041264,Aérodrome de Saumur - Saint-Florent,Campbon La Berthelière Airfield
Gare de Quimperlé,Gare de Savenay,Avion,47.912079,-3.565698,47.420833,-2.011944,,,,airports,OurAirports,Gare de Quimperlé,Gare de Savenay,128.53200806053414,82.45780894576437,Mellac Ultralight Airfield,Campbon La Berthelière Airfield
Gare de Saint-Lô,Gare de Rennes,Avion,49.30083,-0.81183,48.0695,-1.73479,,,,airports,OurAirports,Gare de Saint-Lô,Gare de Rennes,152.7620805551328,98.00225362261612,Mosles Airfield,Rennes-Saint-Jacques Airport
Gare de Tours,Gare de Pouzauges,Avion,47.432201,0.727606,46.660556,-0.663611,,,,airports,OurAirports,Gare de Tours,Gare de Pouzauges,135.9139115051229,87.1935599316457,Tours Val de Loire Airport,Breuil Barret Airfield
Gare de Villedieu-les-Poêles,Gare de Paris Montparnasse Vaugirard,Avion,48.662255,-1.403685,48.774406,2.203102,,,,airports,OurAirports,Gare de Villedieu-les-Poêles,Gare de Paris Montparnasse Vaugirard,264.870347317691,106.74871887826482,Avranches Le Val-Saint-Père Airfield,Vélizy-Villacoublay Air Base
Gare de Vire,Gare de Paris Montparnasse Hall 1 - 2,Avion,48.749964,-0.593927,48.774406,2.203102,,,,airports,OurAirports,Gare de Vire,Gare de Paris Montparnasse Hall 1 - 2,205.0234859119462,82.62908507008417,Aérodrome de Flers Saint-Paul,Vélizy-Villacoublay Air Base
Gare de Étriché - Châteauneuf,Gare de Le Croisic,Avion,47.580399,-0.412269,47.289398,-2.34639,,,,airports,OurAirports,Gare de Étriché - Châteauneuf,Gare de Le Croisic,149.02635201568273,95.6056522248216,Aérodrome privé de Soucelles,La Baule-Escoublac Airport
Gare de Évreux Normandie,Gare de Valognes,Avion,49.028702,1.21986,49.650101,-1.47028,,,,airports,OurAirports,Gare de Évreux Normandie,Gare de Valognes,206.77721574712803,83.33587771433479,Évreux-Fauville (BA 105) Air Base,Cherbourg Manche airport
Gare de Albert,Gare de Rouen Rive Droite,Avion,50.015803,2.688594,49.384887,1.179142,,,,airports,OurAirports,Gare de Albert,Gare de Rouen Rive Droite,129.25029768056874,82.91861702890458,La Boisselle Airfield,Rouen Vallée de Seine Airport
Gare de Angers Maître École,Gare de Le Croisic,Avion,47.565556,-0.549722,47.289398,-2.34639,,,,airports,OurAirports,Gare de Angers Maître École,Gare de Le Croisic,138.5969382144863,88.91481603847376,Soulaire Airfield,La Baule-Escoublac Airport
Gare de Angers Maître École,Gare de Saint-Nazaire,Avion,47.565556,-0.549722,47.31142,-2.152634,,,,airports,OurAirports,Gare de Angers Maître École,Gare de Saint-Nazaire,123.82045789855806,79.43518361720312,Soulaire Airfield,Saint-Nazaire-Montoir Airport
Gare de Argentan,Gare de Saint-Pierre-des-Corps,Avion,48.709456,0.002856,47.432201,0.727606,,,,airports,OurAirports,Gare de Argentan,Gare de Saint-Pierre-des-Corps,151.88860361248982,97.44188740768026,Argentan Airfield,Tours Val de Loire Airport
Gare de Bretteville - Norrey,Gare de Dol-de-Bretagne,Avion,49.17678,-0.454883,48.474167,-1.591111,,,,airports,OurAirports,Gare de Bretteville - Norrey,Gare de Dol-de-Bretagne,114.11361814716966,73.20790412655536,Caen Carpiquet airport,Le Haut des Places Airfield
Gare de Caen,Gare de Montbizot,Avion,49.17678,-0.454883,48.195278,0.099444,,,,airports,OurAirports,Gare de Caen,Gare de Montbizot,116.47662229890472,74.72385449426494,Caen Carpiquet airport,Assé le Riboul Airfield
Gare de Connerré - Beillé,Gare de Versailles Chantiers,Avion,48.298611,0.453056,48.812459,2.067533,,,,airports,OurAirports,Gare de Connerré - Beillé,Gare de Versailles Chantiers,131.84419929942018,84.58269625196182,Champ-Romet Airfield,Saint-Cyr-l'École Airport
Gare de Courville-sur-Eure,Gare de Noyen,Avion,48.438333,1.274444,47.69261,-0.002198,,,,airports,OurAirports,Gare de Courville-sur-Eure,Gare de Noyen,125.99479833980982,80.83009957154925,Loulappe Airfield,La Flèche-Thorée-les-Pins Airfield
Gare de Coutances,Gare de Rennes,Avion,49.202276,-1.507983,48.0695,-1.73479,,,,airports,OurAirports,Gare de Coutances,Gare de Rennes,127.05658843460066,81.51127530433276,Lessay Airfield,Rennes-Saint-Jacques Airport
Gare de Dol-de-Bretagne,Gare de Bayeux,Avion,48.474167,-1.591111,49.30083,-0.81183,,,,airports,OurAirports,Gare de Dol-de-Bretagne,Gare de Bayeux,108.14580093927046,69.37933925327931,Le Haut des Places Airfield,Mosles Airfield
Gare de La Baule-Escoublac,Gare de Saumur,Avion,47.289398,-2.34639,47.256802,-0.115142,,,,airports,OurAirports,Gare de La Baule-Escoublac,Gare de Saumur,168.37261114321973,108.0169586614439,La Baule-Escoublac Airport,Aérodrome de Saumur - Saint-Florent
Gare de La Rochelle,Gare de Nantes,Avion,46.179199,-1.19528,47.153198,-1.61073,,,,airports,OurAirports,Gare de La Rochelle,Gare de Nantes,112.84768795883267,72.39576533573056,La Rochelle Île de Ré Airport,Nantes Atlantique Airport
Gare de Landerneau,Gare de Rennes,Avion,48.5303,-4.15164,48.0695,-1.73479,,,,airports,OurAirports,Gare de Landerneau,Gare de Rennes,185.96383602226268,119.30234883067666,Landivisiau Air Base,Rennes-Saint-Jacques Airport
Gare de Landivisiau,Gare de Rennes,Avion,48.5303,-4.15164,48.0695,-1.73479,,,,airports,OurAirports,Gare de Landivisiau,Gare de Rennes,185.96383602226268,119.30234883067666,Landivisiau Air Base,Rennes-Saint-Jacques Airport
Gare de Le Mans,Gare de Le Pouliguen,Avion,47.948604,0.201702,47.289398,-2.34639,,,,airports,OurAirports,Gare de Le Mans,Gare de Le Pouliguen,204.55488417657855,82.4402280106919,Le Mans-Arnage Airport,La Baule-Escoublac Airport
Gare de Le Theil - La Rouge,Gare de Versailles Chantiers,Avion,48.300556,0.581111,48.812459,2.067533,,,,airports,OurAirports,Gare de Le Theil - La Rouge,Gare de Versailles Chantiers,123.31680112880906,79.11207006501584,BELLEME St Germain de la Coudr Airfield,Saint-Cyr-l'École Airport
Gare de Lille Flandres,Gare de Longuerue - Vieux-Manoir,Avion,50.687199,3.07556,49.384887,1.179142,,,,airports,OurAirports,Gare de Lille Flandres,Gare de Longuerue - Vieux-Manoir,198.26771985971553,79.90635910841995,Marcq-en-Baroeul Airfield,Rouen Vallée de Seine Airport
