trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,timepoint
44149,12:43:00,12:43:00,42,14,,0,0,,,1
44149,12:41:08,12:41:08,97,13,,0,0,,,0
44149,12:37:13,12:37:13,99,12,,0,0,,,0
44149,12:34:37,12:34:37,101,11,,0,0,,,0
44149,12:30:50,12:30:50,103,10,,0,0,,,0
44149,12:27:20,12:27:20,120,9,,0,0,,,0
44149,12:23:53,12:23:53,107,8,,0,0,,,0
44149,12:20:20,12:20:20,109,7,,0,0,,,0
44149,12:16:57,12:16:57,111,6,,0,0,,,0
44149,12:15:32,12:15:32,119,5,,0,0,,,0
44149,12:14:21,12:14:21,113,4,,0,0,,,0
44149,12:12:57,12:12:57,898,3,,0,0,,,0
44149,12:09:31,12:09:31,116,2,,0,0,,,0
44149,12:07:00,12:07:00,118,1,,0,0,,,1
44150,13:55:00,13:55:00,42,14,,0,0,,,1
44150,13:53:08,13:53:08,97,13,,0,0,,,0
44150,13:49:13,13:49:13,99,12,,0,0,,,0
44150,13:46:37,13:46:37,101,11,,0,0,,,0
44150,13:42:50,13:42:50,103,10,,0,0,,,0
44150,13:39:20,13:39:20,120,9,,0,0,,,0
44150,13:35:53,13:35:53,107,8,,0,0,,,0
44150,13:32:20,13:32:20,109,7,,0,0,,,0
44150,13:28:57,13:28:57,111,6,,0,0,,,0
44150,13:27:32,13:27:32,119,5,,0,0,,,0
44150,13:26:21,13:26:21,113,4,,0,0,,,0
44150,13:24:57,13:24:57,898,3,,0,0,,,0
44150,13:21:31,13:21:31,116,2,,0,0,,,0
44150,13:19:00,13:19:00,118,1,,0,0,,,1
44151,15:00:30,15:00:30,42,14,,0,0,,,1
44151,14:58:58,14:58:58,97,13,,0,0,,,0
44151,14:55:46,14:55:46,99,12,,0,0,,,0
44151,14:53:38,14:53:38,101,11,,0,0,,,0
44151,14:50:32,14:50:32,103,10,,0,0,,,0
44151,14:47:40,14:47:40,120,9,,0,0,,,0
44151,14:44:50,14:44:50,107,8,,0,0,,,0
44151,14:41:55,14:41:55,109,7,,0,0,,,0
44151,14:39:10,14:39:10,111,6,,0,0,,,0
44151,14:38:00,14:38:00,119,5,,0,0,,,0
44151,14:37:01,14:37:01,113,4,,0,0,,,0
44151,14:35:52,14:35:52,898,3,,0,0,,,0
44151,14:33:04,14:33:04,116,2,,0,0,,,0
44151,14:31:00,14:31:00,118,1,,0,0,,,1
44152,07:01:30,07:01:30,42,14,,0,0,,,1
44152,06:59:36,06:59:36,97,13,,0,0,,,0
44152,06:55:38,06:55:38,99,12,,0,0,,,0
44152,06:53:00,06:53:00,101,11,,0,0,,,0
44152,06:49:10,06:49:10,103,10,,0,0,,,0
44152,06:45:37,06:45:37,120,9,,0,0,,,0
44152,06:42:07,06:42:07,107,8,,0,0,,,0
44152,06:38:31,06:38:31,109,7,,0,0,,,0
44152,06:35:06,06:35:06,111,6,,0,0,,,0
44152,06:33:39,06:33:39,119,5,,0,0,,,0
44152,06:32:27,06:32:27,113,4,,0,0,,,0
44152,06:31:02,06:31:02,898,3,,0,0,,,0
44152,06:27:34,06:27:34,116,2,,0,0,,,0
44152,06:25:00,06:25:00,118,1,,0,0,,,1
44153,08:10:00,08:10:00,42,14,,0,0,,,1
44153,08:08:20,08:08:20,97,13,,0,0,,,0
44153,08:04:51,08:04:51,99,12,,0,0,,,0
44153,08:02:33,08:02:33,101,11,,0,0,,,0
44153,07:59:11,07:59:11,103,10,,0,0,,,0
44153,07:56:05,07:56:05,120,9,,0,0,,,0
44153,07:53:01,07:53:01,107,8,,0,0,,,0
44153,07:49:51,07:49:51,109,7,,0,0,,,0
44153,07:46:51,07:46:51,111,6,,0,0,,,0
44153,07:45:35,07:45:35,119,5,,0,0,,,0
44153,07:44:32,07:44:32,113,4,,0,0,,,0
44153,07:43:17,07:43:17,898,3,,0,0,,,0
44153,07:40:15,07:40:15,116,2,,0,0,,,0
44153,07:38:00,07:38:00,118,1,,0,0,,,1
44154,09:17:00,09:17:00,42,14,,0,0,,,1
44154,09:15:11,09:15:11,97,13,,0,0,,,0
44154,09:11:23,09:11:23,99,12,,0,0,,,0
44154,09:08:51,09:08:51,101,11,,0,0,,,0
44154,09:05:10,09:05:10,103,10,,0,0,,,0
44154,09:01:46,09:01:46,120,9,,0,0,,,0
44154,08:58:25,08:58:25,107,8,,0,0,,,0
44154,08:54:57,08:54:57,109,7,,0,0,,,0
44154,08:51:41,08:51:41,111,6,,0,0,,,0
44154,08:50:18,08:50:18,119,5,,0,0,,,0
44154,08:49:09,08:49:09,113,4,,0,0,,,0
44154,08:47:47,08:47:47,898,3,,0,0,,,0
44154,08:44:27,08:44:27,116,2,,0,0,,,0
44154,08:42:00,08:42:00,118,1,,0,0,,,1
44155,10:28:00,10:28:00,42,14,,0,0,,,1
44155,10:26:08,10:26:08,97,13,,0,0,,,0
44155,10:22:13,10:22:13,99,12,,0,0,,,0
44155,10:19:37,10:19:37,101,11,,0,0,,,0
44155,10:15:50,10:15:50,103,10,,0,0,,,0
44155,10:12:20,10:12:20,120,9,,0,0,,,0
44155,10:08:53,10:08:53,107,8,,0,0,,,0
44155,10:05:20,10:05:20,109,7,,0,0,,,0
44155,10:01:57,10:01:57,111,6,,0,0,,,0
44155,10:00:32,10:00:32,119,5,,0,0,,,0
44155,09:59:21,09:59:21,113,4,,0,0,,,0
44155,09:57:57,09:57:57,898,3,,0,0,,,0
44155,09:54:31,09:54:31,116,2,,0,0,,,0
44155,09:52:00,09:52:00,118,1,,0,0,,,1
44156,11:40:00,11:40:00,42,14,,0,0,,,1
44156,11:38:08,11:38:08,97,13,,0,0,,,0
44156,11:34:13,11:34:13,99,12,,0,0,,,0
44156,11:31:37,11:31:37,101,11,,0,0,,,0
44156,11:27:50,11:27:50,103,10,,0,0,,,0
44156,11:24:20,11:24:20,120,9,,0,0,,,0
44156,11:20:53,11:20:53,107,8,,0,0,,,0
44156,11:17:20,11:17:20,109,7,,0,0,,,0
44156,11:13:57,11:13:57,111,6,,0,0,,,0
44156,11:12:32,11:12:32,119,5,,0,0,,,0
44156,11:11:21,11:11:21,113,4,,0,0,,,0
44156,11:09:57,11:09:57,898,3,,0,0,,,0
44156,11:06:31,11:06:31,116,2,,0,0,,,0
44156,11:04:00,11:04:00,118,1,,0,0,,,1
44157,12:52:00,12:52:00,42,14,,0,0,,,1
44157,12:50:08,12:50:08,97,13,,0,0,,,0
44157,12:46:13,12:46:13,99,12,,0,0,,,0
44157,12:43:37,12:43:37,101,11,,0,0,,,0
44157,12:39:50,12:39:50,103,10,,0,0,,,0
