origin,destination,airport_origin_name,airport_dest_name,origin_city,destination_city,vehicule_type,station_lat,station_long,station_lat_dest,station_long_dest,distance_km,co2_kg,departure_time,arrival_time,source,provider
Gare de Pontchaillou,Gare de Audrieu,Rennes-Saint-Jacques Airport,Caen Carpiquet airport,Gare de Pontchaillou,Gare de Audrieu,Avion,48.0695,-1.73479,49.17678,-0.454883,154.94486891600232,99.40258921485902,,,airports,OurAirports
Gare de Questembert,Gare de Quimper,Pleucadeuc private airfield,Quimper-Cornouaille Airport,Gare de Questembert,Gare de Quimper,Avion,47.78777,-2.36109,47.973031,-4.169655,136.43678368377996,87.52900084524639,,,airports,OurAirports
Gare de Rouen Rive Droite,Gare de Achiet,Rouen Vallée de Seine Airport,La Boisselle Airfield,Gare de Rouen Rive Droite,Gare de Achiet,Avion,49.384887,1.179142,50.015803,2.688594,129.25029768056874,82.91861702890458,,,airports,OurAirports
Gare de Saint-Pierre-des-Corps,Gare de Pornichet,Tours Val de Loire Airport,La Baule-Escoublac Airport,Gare de Saint-Pierre-des-Corps,Gare de Pornichet,Avion,47.432201,0.727606,47.289398,-2.34639,232.0655244716036,93.52763600767815,,,airports,OurAirports
Gare de Saint-Pierre-des-Corps,Gare de Saint-Nazaire,Tours Val de Loire Airport,Saint-Nazaire-Montoir Airport,Gare de Saint-Pierre-des-Corps,Gare de Saint-Nazaire,Avion,47.432201,0.727606,47.31142,-2.152634,217.30060320697586,87.57704000741313,,,airports,OurAirports
Gare de Saumur,Gare de Blois - Chambord,Aérodrome de Saumur - Saint-Florent,Chouzy-sur-Cisse Airfield,Gare de Saumur,Gare de Blois - Chambord,Avion,47.256802,-0.115142,47.506944,1.232778,105.22733395024582,67.50703991689785,,,airports,OurAirports
Gare de Savenay,Gare de Meung-sur-Loire,Campbon La Berthelière Airfield,Cravant Les Lilas Airfield,Gare de Savenay,Gare de Meung-sur-Loire,Avion,47.420833,-2.011944,47.836706,1.617899,275.8878567921954,111.18902347839374,,,airports,OurAirports
Gare de Savonnières,Gare de Nantes,Tours Sorigny Airfield,Nantes Atlantique Airport,Gare de Savonnières,Gare de Nantes,Avion,47.266071,0.698691,47.153198,-1.61073,174.89050289728848,112.19841572490976,,,airports,OurAirports
Gare de Verneuil-sur-Avre,Gare de Granville,Le Buternay Airfield,Granville Airport,Gare de Verneuil-sur-Avre,Gare de Granville,Avion,48.611944,0.841944,48.883099,-1.56417,178.96512873244777,114.81243167090511,,,airports,OurAirports
Gare de Vire,Gare de Paris Montparnasse Vaugirard,Aérodrome de Flers Saint-Paul,Vélizy-Villacoublay Air Base,Gare de Vire,Gare de Paris Montparnasse Vaugirard,Avion,48.749964,-0.593927,48.774406,2.203102,205.0234859119462,82.62908507008417,,,airports,OurAirports
Gare de Épernon,Gare de Le Mans,La Fontaine au Berger Airfield,Le Mans-Arnage Airport,Gare de Épernon,Gare de Le Mans,Avion,48.582222,1.728889,47.948604,0.201702,133.19751668832168,85.45089700896287,,,airports,OurAirports
Gare de Angers Saint-Laud,Gare de Blois - Chambord,Soulaire Airfield,Chouzy-sur-Cisse Airfield,Gare de Angers Saint-Laud,Gare de Blois - Chambord,Avion,47.565556,-0.549722,47.506944,1.232778,133.96850591134253,85.9455137430386,,,airports,OurAirports
Gare de Angers Saint-Laud,Gare de Le Pouliguen,Soulaire Airfield,La Baule-Escoublac Airport,Gare de Angers Saint-Laud,Gare de Le Pouliguen,Avion,47.565556,-0.549722,47.289398,-2.34639,138.5969382144863,88.91481603847376,,,airports,OurAirports
Gare de Beaugency,Gare de Le Pouliguen,Beaugency Airfield,La Baule-Escoublac Airport,Gare de Beaugency,Gare de Le Pouliguen,Avion,47.749467,1.578984,47.289398,-2.34639,299.1453042035859,120.56229889667506,,,airports,OurAirports
Gare de Bretteville - Norrey,Gare de Rennes,Caen Carpiquet airport,Rennes-Saint-Jacques Airport,Gare de Bretteville - Norrey,Gare de Rennes,Avion,49.17678,-0.454883,48.0695,-1.73479,154.94486891600232,99.40258921485902,,,airports,OurAirports
Gare de Caen,Gare de Teillé,Caen Carpiquet airport,Assé le Riboul Airfield,Gare de Caen,Gare de Teillé,Avion,49.17678,-0.454883,48.195278,0.099444,116.47662229890472,74.72385449426494,,,airports,OurAirports
Gare de Chartres,Gare de Étriché - Châteauneuf,Chartres-Métropole Airfield,Aérodrome privé de Soucelles,Gare de Chartres,Gare de Étriché - Châteauneuf,Avion,48.457502,1.519843,47.580399,-0.412269,173.6658257796918,111.41274223153778,,,airports,OurAirports
Gare de Condé-sur-Huisne,Gare de Tiercé,Champrond Le Petit Bois Landry Ultralight Airfield,Aérodrome privé de Soucelles,Gare de Condé-sur-Huisne,Gare de Tiercé,Avion,48.39361,1.05753,47.580399,-0.412269,141.9180765437122,91.04544321816265,,,airports,OurAirports
Gare de Connerré - Beillé,Gare de Angers Maître École,Champ-Romet Airfield,Soulaire Airfield,Gare de Connerré - Beillé,Gare de Angers Maître École,Avion,48.298611,0.453056,47.565556,-0.549722,110.56751104596627,70.9329515582073,,,airports,OurAirports
Gare de Folligny,Gare de Dreux,Granville Airport,Dreux Vernouillet Airfield,Gare de Folligny,Gare de Dreux,Avion,48.883099,-1.56417,48.70543,1.361155,215.17909202208585,86.7220231911997,,,airports,OurAirports
Gare de La Baule les Pins,Gare de Amboise,La Baule-Escoublac Airport,Amboise Dierre Airfield,Gare de La Baule les Pins,Gare de Amboise,Avion,47.289398,-2.34639,47.339771,0.945861,248.23800373562744,100.0455096013167,,,airports,OurAirports
Gare de La Baule les Pins,Gare de Angers Saint-Laud,La Baule-Escoublac Airport,Soulaire Airfield,Gare de La Baule les Pins,Gare de Angers Saint-Laud,Avion,47.289398,-2.34639,47.565556,-0.549722,138.5969382144863,88.91481603847376,,,airports,OurAirports
Gare de La Baule les Pins,Gare de Meung-sur-Loire,La Baule-Escoublac Airport,Cravant Les Lilas Airfield,Gare de La Baule les Pins,Gare de Meung-sur-Loire,Avion,47.289398,-2.34639,47.836706,1.617899,303.5734755013084,122.34695171943295,,,airports,OurAirports
Gare de La Loupe,Gare de Angers Saint-Laud,Fontaine Simon Airfield,Soulaire Airfield,Gare de La Loupe,Gare de Angers Saint-Laud,Avion,48.506027,0.991064,47.565556,-0.549722,155.1078613453794,99.50715459747447,,,airports,OurAirports
Gare de Langeais,Gare de La Baule les Pins,Hommes Volants Ultralight Airfield,La Baule-Escoublac Airport,Gare de Langeais,Gare de La Baule les Pins,Avion,47.418534,0.323495,47.289398,-2.34639,201.62679441536304,81.26014185180067,,,airports,OurAirports
Gare de Le Mans,Gare de Cesson-Sévigné,Le Mans-Arnage Airport,Rennes-Saint-Jacques Airport,Gare de Le Mans,Gare de Cesson-Sévigné,Avion,47.948604,0.201702,48.0695,-1.73479,144.6793058860838,92.81686906767932,,,airports,OurAirports
Gare de Le Mans,Gare de Saint-Pierre-sur-Dives,Le Mans-Arnage Airport,Rouvres Airfield,Gare de Le Mans,Gare de Saint-Pierre-sur-Dives,Avion,47.948604,0.201702,49.02,-0.198333,122.72744809943227,78.73397934480339,,,airports,OurAirports
